member_id,max_product_sale,member_id,min_product_sale
1010,281.53,1010,2.5
1013,184.59,1013,0.99
1030,298.86,1030,3.99
1031,221.63,1031,3.18
1061,263.67,1061,3.99
1074,231.71,1074,4.13
1085,268.0,1085,2.34
1087,329.67,1087,2.35
1100,210.63,1100,1.47
1101,221.0,1101,4.3
1134,342.81,1134,1.5
1142,335.58,1142,5.04
1164,199.75,1164,1.05
1165,239.76,1165,2.35
1194,210.96,1194,1.14
1200,269.73,1200,2.6
1207,439.5,1207,3.8
1222,409.59,1222,1.74
1232,203.5,1232,1.99
1234,219.56,1234,5.25
1250,329.67,1250,0.63
1251,197.88,1251,2.78
1272,311.61,1272,1.75
1277,223.72,1277,0.69
1282,339.66,1282,0.99
1289,407.49,1289,1.99
1292,180.0,1292,3.36
1294,227.62,1294,0.57
1298,307.65,1298,0.99
1307,269.46,1307,0.78
1310,209.79,1310,3.78
1331,199.75,1331,1.17
1333,339.66,1333,3.51
1335,511.36,1335,3.15
1336,399.6,1336,2.73
1346,263.6,1346,4.25
1361,224.1,1361,0.85
1366,383.52,1366,4.47
1367,289.71,1367,1.89
1368,293.51,1368,2.5
1371,479.52,1371,3.9
1372,243.83,1372,2.5
1385,289.71,1385,0.84
1402,279.44,1402,1.89
1406,334.02,1406,2.31
1413,175.5,1413,2.75
1414,273.0,1414,3.96
1422,219.75,1422,3.8
1452,342.81,1452,0.42
1454,349.65,1454,1.68
1460,329.67,1460,1.95
1475,223.44,1475,2.73
1487,329.67,1487,2.39
1489,261.3,1489,2.73
1506,269.73,1506,2.85
1509,233.61,1509,0.84
1511,199.5,1511,2.85
1513,367.54,1513,0.21
1520,311.61,1520,0.84
1522,334.02,1522,1.9
1540,351.56,1540,4.2
1549,289.96,1549,2.73
1568,271.66,1568,3.78
1570,209.79,1570,1.7
1580,201.0,1580,3.54
1589,194.3,1589,2.73
1595,279.72,1595,0.99
1620,529.47,1620,2.75
1625,305.5,1625,1.74
1632,308.2,1632,3.36
1636,247.69,1636,1.7
1650,369.18,1650,2.5
1660,203.49,1660,0.69
1675,259.74,1675,0.59
1684,254.91,1684,1.95
1697,449.55,1697,3.12
1701,227.8,1701,5.25
1706,329.45,1706,2.98
1721,307.65,1721,2.73
1761,219.75,1761,2.36
1765,219.78,1765,1.29
1792,369.04,1792,3.51
1795,349.65,1795,1.17
1798,260.0,1798,1.99
1855,305.49,1855,5.46
1856,281.4,1856,1.99
1865,459.54,1865,6.45
1881,249.75,1881,4.41
1884,287.64,1884,1.98
1886,409.18,1886,2.52
1898,360.39,1898,2.31
1900,448.5,1900,1.26
1923,229.54,1923,1.9
1925,219.75,1925,1.05
1928,299.0,1928,3.18
1942,255.68,1942,1.47
1967,246.12,1967,1.98
1972,307.65,1972,0.42
1973,314.9,1973,0.87
1992,234.53,1992,3.58
1997,249.75,1997,1.5
